Sub_ID,Session,Block,Task,Reaction_Time,Performance
2014,s2,blk0,nb,702.9344595,0.95
2014,s2,blk1,nb,868.0109897,0.95
8201,s1,blk0,nb,1089.264243,0.259259259
8201,s1,blk1,nb,1390.583258,0.454545455
8215,s1,blk0,nb,913.7701616,0.904761905
8215,s1,blk1,nb,1158.728333,0.95
8219,s1,blk0,nb,1233.293702,0.545454545
8219,s1,blk1,nb,1281.057805,0.85
8211,s1,blk0,nb,785.2256979,0.9
8211,s1,blk1,nb,809.8610327,0.857142857
8211,s2,blk0,nb,659.7637228,0.9
8211,s2,blk1,nb,826.2835628,0.85
2001,s1,blk0,nb,845.5494794,0.75
2001,s1,blk1,nb,929.8843113,0.65
8221,s2,blk0,nb,553.2496629,0.619047619
8221,s2,blk1,nb,752.9309523,0.95
2006,s1,blk0,nb,1054.600536,0.863636364
2006,s1,blk1,nb,928.1576577,0.9
2006,s2,blk0,nb,911.2673396,1
2006,s2,blk1,nb,892.6662872,0.95
8210,s1,blk0,nb,1078.923554,0.625
8210,s1,blk1,nb,1324.719913,0.8
8210,s2,blk0,nb,1050.918897,0.625
8210,s2,blk1,nb,769.2857,1
8218,s1,blk0,nb,1065.061697,0.65
8218,s1,blk1,nb,1045.449564,0.9
2017,s1,blk0,nb,1229.324383,0.727272727
2019,s1,blk0,nb,975.9028843,0.818181818
2019,s1,blk1,nb,1042.008914,0.714285714
2003,s1,blk0,nb,939.4255835,0.428571429
2003,s1,blk1,nb,757.6665571,0.9
8209,s1,blk0,nb,1098.07203,0.571428571
8209,s1,blk1,nb,1430.489061,0.65
8209,s2,blk0,nb,803.8723512,0.75
8209,s2,blk1,nb,1010.141359,0.9
8208,s1,blk0,nb,780.2728718,0.75
8208,s1,blk1,nb,1003.395931,0.75
8208,s2,blk0,nb,798.6581569,0.7
8208,s2,blk1,nb,1050.816212,0.85
2012,s1,blk0,nb,1140.613329,0.76
2012,s1,blk1,nb,1445.849768,0.714285714
2012,s2,blk0,nb,1003.675033,0.772727273
2012,s2,blk1,nb,1143.3004,0.652173913
8216,s1,blk0,nb,998.9101009,0.772727273
8216,s1,blk1,nb,1417.568211,0.65
8216,s2,blk0,nb,782.7627779,0.8
8216,s2,blk1,nb,1144.699843,0.75
8206,s1,blk0,nb,937.8794216,0.9
8206,s1,blk1,nb,968.289144,0.65
8206,s2,blk0,nb,715.2389575,0.95
8206,s2,blk1,nb,645.1849038,0.95
8220,s1,blk0,nb,969.9318827,0.9
8220,s1,blk1,nb,869.0363393,0.8
2007,s1,blk0,nb,906.0556307,0.65
2007,s1,blk1,nb,529.2851264,0.636363636
8205,s2,blk0,nb,936.630186,0.681818182
8205,s2,blk1,nb,929.6769323,0.95
8203,s1,blk0,gng,269.1756477,0.95
8203,s1,blk1,gng,244.294991,1
2011,s1,blk0,gng,217.8059108,1
2011,s1,blk1,gng,360.6013811,1
2011,s2,blk0,gng,284.4544384,0.95
2011,s2,blk1,gng,267.9710909,1
8213,s1,blk0,gng,357.2535211,1
8213,s1,blk1,gng,272.6575744,1
2015,s1,blk0,gng,327.6681777,0.85
2015,s1,blk1,gng,224.7402399,1
2015,s2,blk0,gng,272.4539626,1
2015,s2,blk1,gng,296.4075726,1
8204,s1,blk0,gng,201.5874162,1
8204,s1,blk1,gng,173.7996538,0.95
8204,s2,blk0,gng,290.1416391,0.95
8204,s2,blk1,gng,236.1089175,1
2013,s1,blk0,gng,308.2742013,0.9
2013,s1,blk1,gng,173.4899202,1
2013,s2,blk0,gng,268.2575226,0.85
2013,s2,blk1,gng,193.8094895,1
8212,s1,blk0,gng,198.388096,1
8212,s1,blk1,gng,195.2114922,1
8212,s2,blk0,gng,277.7388046,1
8212,s2,blk1,gng,232.8544642,1
8217,s1,blk0,gng,214.4331813,1
8217,s1,blk1,gng,261.4434135,1
2002,s1,blk0,gng,206.7616638,1
2002,s1,blk1,gng,203.3941646,0.95
2002,s2,blk0,gng,282.0849538,1
2002,s2,blk1,gng,170.5101424,1
2004,s1,blk0,gng,354.1483223,0.95
2004,s1,blk1,gng,350.771098,1
2014,s1,blk0,gng,261.3639804,0.95
2014,s1,blk1,gng,313.7371822,1
2014,s2,blk0,gng,330.4820396,0.9
2014,s2,blk1,gng,287.5957706,0.95
8201,s1,blk0,gng,322.1160513,0.95
8201,s1,blk1,gng,494.5327214,0.95
8215,s1,blk0,gng,251.4862098,1
8215,s1,blk1,gng,194.307333,1
8219,s1,blk0,gng,251.9219051,1
8219,s1,blk1,gng,349.6488851,0.75
8211,s1,blk0,gng,292.2318524,0.95
8211,s1,blk1,gng,294.336663,1
8211,s2,blk0,gng,113.661517,1
8211,s2,blk1,gng,265.4176637,1
2001,s1,blk0,gng,241.9104612,0.95
2001,s1,blk1,gng,135.7818162,0.95
8221,s2,blk0,gng,167.25203,1
8221,s2,blk1,gng,246.7619088,0.95
2006,s1,blk0,gng,183.3436492,1
2006,s1,blk1,gng,261.5222397,0.95
2006,s2,blk0,gng,216.8206751,0.9
2006,s2,blk1,gng,252.5527016,0.75
8210,s1,blk0,gng,254.6851445,0.95
8210,s1,blk1,gng,246.0033812,1
8210,s2,blk0,gng,219.7201524,0.85
8210,s2,blk1,gng,320.9366879,1
8218,s1,blk0,gng,386.1223677,0.95
8218,s1,blk1,gng,347.4445813,1
2017,s1,blk0,gng,304.1132891,0.95
2017,s1,blk1,gng,271.317386,0.9
2019,s1,blk0,gng,339.1885931,0.952380952
2019,s1,blk1,gng,435.3686793,0.95
2003,s1,blk0,gng,132.979284,1
2003,s1,blk1,gng,259.2749555,1
8209,s1,blk0,gng,472.7746615,1
8209,s1,blk1,gng,350.3882941,1
8209,s1,blk2,gng,263.9280037,1
8209,s2,blk0,gng,269.9610898,1
8209,s2,blk1,gng,349.4454002,0.95
8208,s1,blk0,gng,353.2416677,1
8208,s1,blk1,gng,310.738973,1
8208,s2,blk0,gng,253.4369682,1
8208,s2,blk1,gng,293.0682171,0.95
2012,s1,blk0,gng,172.9270809,0.95
2012,s1,blk1,gng,190.6273265,1
2012,s2,blk0,gng,290.3236711,0.95
2012,s2,blk1,gng,391.1119524,0.95
8216,s1,blk0,gng,450.5137425,1
8216,s1,blk1,gng,329.5528935,0.95
8216,s2,blk0,gng,342.5348331,1
8216,s2,blk1,gng,445.3019833,1
8206,s1,blk0,gng,270.9564681,0.95
8206,s1,blk1,gng,245.171247,1
8206,s2,blk0,gng,297.7351538,0.95
8206,s2,blk1,gng,291.5991984,0.95
8220,s1,blk0,gng,232.7548021,1
8220,s1,blk1,gng,333.1311538,1
2007,s1,blk0,gng,271.4088248,0.95
2007,s1,blk1,gng,436.5311001,0.95
8205,s2,blk0,gng,407.5706085,0.95
8205,s2,blk1,gng,265.7301679,0.95
